id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID020862,12.981087,77.6075054,"Hospital Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL19561,PASSENGER AUTO,,"[""WRONG PARKING""]",[112],2024-02-04 07:03:46+00,,2024-02-05 00:52:14.980244+00,FKDEV00149,FKUSR00149,16.0,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,,,,
FKID152017,12.9970875,77.5829881,"5th Main Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",FKN00GL126538,CAR,,"[""WRONG PARKING""]",[112],2023-11-12 04:43:46+00,,2023-11-14 00:58:56.252478+00,FKDEV00213,FKUSR00213,87.0,Sheshadripuram,True,BTP032 - Windsor Circle,,,FKN00GL126538,CAR,approved,2023-11-16 01:10:51.25+00
FKID189299,12.9893433,77.5991369,"Queens Road, Govinda Chetty Colony, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",FKN00GL155363,PASSENGER AUTO,,"[""WRONG PARKING""]",[112],2023-11-25 02:52:46+00,,2023-11-25 02:57:05.968082+00,FKDEV00229,FKUSR00229,16.0,Shivajinagar,True,No Junction,,,FKN00GL155363,PASSENGER AUTO,approved,2023-11-27 03:34:22.528+00
FKID012865,12.999961,77.5496198,"WOC Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL12143,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-03-29 02:32:46+00,,2024-03-29 02:45:00.079137+00,FKDEV00929,FKUSR00892,6.0,Rajajinagar,True,BTP027 - Modi Bridge Junction,,2024-04-15 23:52:37.425598+00,,,,
FKID271548,12.9901183,77.5049433,"Magadi Main Road, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",FKN00GL214681,SCOOTER,,"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]","[112,116]",2024-01-24 22:56:46+00,,2024-01-25 01:10:52.669186+00,FKDEV01096,FKUSR01046,33.0,Kamakshipalya,True,No Junction,,,FKN00GL214681,CAR,approved,2024-01-27 01:53:52.855+00
FKID186438,13.0081031,77.6953,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL153204,SCOOTER,,"[""NO PARKING""]",[113],2023-11-23 21:29:46+00,,2023-11-24 01:50:50.965742+00,FKDEV01129,FKUSR01077,15.0,K.R. Pura,True,No Junction,,,FKN00GL153204,SCOOTER,approved,2023-11-24 22:22:57.547+00
FKID200909,12.9915281,77.5885098,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL17389,SCOOTER,,"[""WRONG PARKING""]",[112],2023-12-22 21:20:46+00,,2023-12-22 21:21:09.371661+00,FKDEV02375,FKUSR02160,11.0,High ground,True,BTP032 - Windsor Circle,,,FKN00GL17389,SCOOTER,approved,2023-12-24 02:17:54.44+00
FKID003913,12.920771881343018,77.66508199,"Outer Ring Road, Sajapur Junction, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",FKN00GL3860,LGV,,"[""WRONG PARKING""]",[112],2024-01-27 21:57:46+00,,2024-02-01 06:23:32.206642+00,FKDEV00728,FKUSR00701,82.0,Bellandur,True,No Junction,,,FKN00GL3860,LGV,rejected,2024-02-04 02:30:08.39+00
FKID123273,12.9645429,77.5775155,"Godown Street, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL103067,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2023-12-04 04:53:46+00,,2023-12-04 05:37:19.319973+00,FKDEV00519,FKUSR00508,28.0,City Market,False,BTP082 - KR Market Junction,,,,,,
FKID287529,13.0004817,77.5503383,"19th Main Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL225672,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2023-12-26 00:39:46+00,,2023-12-26 00:50:54.168189+00,FKDEV00270,FKUSR00269,19.0,Malleshwaram,True,"BTP182 - 19th Main Junction, Rajajinagar",,,FKN00GL225672,MOTOR CYCLE,approved,2023-12-28 00:17:14.592+00
FKID254373,12.9303036,77.6857221,"Outer Ring Road, Vajram Esteva, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL98142,PASSENGER AUTO,,"[""NO PARKING"",""WRONG PARKING""]","[113,112]",2024-01-19 03:03:46+00,,2024-01-19 07:58:21.3978+00,FKDEV00109,FKUSR00110,13.0,HAL Old Airport,True,No Junction,,,FKN00GL98142,PASSENGER AUTO,approved,2024-01-19 22:03:03.223+00
FKID139970,12.9607696,77.511549,"Mallathahalli Road, Sri Gurukrupa Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",FKN00GL116644,CAR,,"[""NO PARKING""]",[113],2023-12-04 07:11:46+00,,2023-12-04 07:18:02.528923+00,FKDEV00340,FKUSR00338,85.0,Jnanabharathi,True,No Junction,,,FKN00GL116644,CAR,rejected,2023-12-04 20:50:59.757+00
FKID047504,12.9942461,77.5714255,"1st Cross Road, Mill Corner Junction, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",FKN00GL42532,CAR,,"[""NO PARKING""]",[113],2024-04-02 05:06:46+00,,2024-04-02 05:40:40.913419+00,FKDEV01939,FKUSR01807,19.0,Malleshwaram,False,No Junction,,,,,,
FKID217019,12.9610388,77.511654,"Mallathahalli Road, Sri Gurukrupa Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",FKN00GL176164,CAR,,"[""NO PARKING""]",[113],2023-12-29 07:21:46+00,,2023-12-30 06:16:42.563663+00,FKDEV00340,FKUSR00338,85.0,Jnanabharathi,True,No Junction,,,FKN00GL176164,CAR,approved,2023-12-31 00:00:18.048+00
FKID137032,12.9253076,77.6334628,"80 Feet Road, SBI Colony, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL114186,CAR,,"[""NO PARKING""]",[113],2023-12-01 02:36:46+00,,2023-12-01 02:41:10.168703+00,FKDEV02586,FKUSR01535,5.0,Adugodi,True,No Junction,,,FKN00GL114186,CAR,approved,2023-12-03 02:42:35.527+00
FKID104750,13.0533001,77.5750763,"Kodigehalli Road, Tatanagar Circle, Tata Nagar, Bengaluru, Karnataka. Pin-560092 (India)",FKN00GL88813,PASSENGER AUTO,,"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]","[112,116]",2024-03-13 02:32:46+00,,2024-03-13 02:37:52.771098+00,FKDEV00643,FKUSR00623,,Kodigehalli,False,No Junction,,,,,,
FKID242551,12.9777868,77.7131336,"Industrial Park Road, RMZ NXT, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",FKN00GL194322,MOTOR CYCLE,,"[""NO PARKING"",""WRONG PARKING""]","[113,112]",2024-01-11 00:54:46+00,,2024-01-11 01:01:19.708898+00,FKDEV00109,FKUSR00110,13.0,HAL Old Airport,True,No Junction,,,FKN00GL194322,SCOOTER,approved,2024-01-12 00:53:21.135+00
FKID104970,12.9813365,77.6102561,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL28075,CAR,,"[""NO PARKING""]",[113],2024-03-13 05:23:46+00,,2024-03-13 05:26:06.63639+00,FKDEV00309,FKUSR00308,16.0,Shivajinagar,True,BTP051 - Safina Plaza Junction,,2024-03-30 19:17:54.281707+00,FKN00GL28075,CAR,approved,2024-04-05 00:32:26.458+00
FKID089746,12.9668831,77.6580866,"1st Cross Road, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",FKN00GL76708,CAR,,"[""WRONG PARKING"",""NO PARKING""]","[112,113]",2024-03-05 04:10:46+00,,2024-03-05 04:24:54.490705+00,FKDEV00398,FKUSR00394,4.0,Jeevanbheemanagar,False,No Junction,,,,,,
FKID043778,12.9950154,77.5714509,"Sri Venkataranga Ayangar Road, Shivanandappa Layout, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",FKN00GL39385,CAR,,"[""NO PARKING""]",[113],2024-02-15 06:09:46+00,,2024-02-15 06:13:17.822405+00,FKDEV00909,FKUSR00873,19.0,Malleshwaram,True,No Junction,,,,,,
FKID066339,12.9976401,77.5595811,,FKN00GL57950,CAR,,"[""WRONG PARKING""]",[112],2024-02-24 02:15:46+00,,2024-02-24 02:25:00.91959+00,FKDEV00144,FKUSR00144,19.0,Malleshwaram,True,No Junction,,,,,,
FKID111548,12.964021,77.5767779,"KR Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL93790,CAR,,"[""WRONG PARKING""]",[112],2024-03-20 16:54:46+00,,2024-03-22 07:30:11.708353+00,FKDEV00069,FKUSR00069,28.0,City Market,True,BTP082 - KR Market Junction,,2024-04-09 14:56:13.54212+00,,,,
FKID147998,12.9820411,77.6118451,"St John Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL44901,MAXI-CAB,,"[""WRONG PARKING""]",[112],2023-11-21 02:31:46+00,,2023-11-21 02:39:15.889763+00,FKDEV00141,FKUSR00141,16.0,Shivajinagar,True,No Junction,,,FKN00GL44901,MAXI-CAB,approved,2023-11-21 22:31:43.319+00
FKID035613,12.978312,77.5808861,"1st Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL32373,JEEP,,"[""NO PARKING""]",[113],2023-12-01 04:40:46+00,,2023-12-01 05:31:16.957421+00,FKDEV00275,FKUSR00274,3.0,Upparpet,False,BTP058 - Subbanna Junction,,,,,,
FKID260901,12.9809932,77.610177,"Dickenson Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL34133,PASSENGER AUTO,,"[""NO PARKING"",""DOUBLE PARKING""]","[113,109]",2024-01-21 05:37:46+00,,2024-01-21 08:04:49.330931+00,FKDEV00658,FKUSR01236,16.0,Shivajinagar,False,BTP051 - Safina Plaza Junction,,,,,,
FKID178404,12.9791468,77.5749829,"Subedar Chatram Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL147183,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-21 20:57:46+00,,2023-11-21 21:37:41.165995+00,FKDEV00559,FKUSR00547,3.0,Upparpet,True,BTP057 - Anand Rao Junction,,,FKN00GL147183,SCOOTER,approved,2023-11-22 22:57:08.436+00
FKID126582,13.0055233,77.6854495,"MBT Road, SM Layout, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",FKN00GL105724,CAR,,"[""WRONG PARKING""]",[112],2024-01-04 23:20:46+00,,2024-01-05 01:48:31.611369+00,FKDEV00305,FKUSR00304,15.0,K.R. Pura,False,No Junction,,,,,,
FKID198362,12.97783,77.5754156,"Subedar Chatram Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL114193,SCOOTER,,"[""WRONG PARKING""]",[112],2023-12-20 03:58:46+00,,2023-12-20 04:00:29.927965+00,FKDEV00172,FKUSR00172,3.0,Upparpet,True,BTP045 - Danvanthri Road Junction,,,FKN00GL114193,SCOOTER,rejected,2023-12-22 02:50:07.492+00
FKID067477,12.9367173,77.6202878,"60 Feet Road, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",FKN00GL58890,CAR,,"[""NO PARKING""]",[113],2024-02-24 06:39:46+00,,2024-02-24 06:43:42.58404+00,FKDEV01639,FKUSR01540,5.0,Adugodi,True,No Junction,,,,,,
FKID062231,13.0709649,77.6336164,"Thanisandra Main Road, Hegde Nagar, Bengaluru, Karnataka. Pin-560077 (India)",FKN00GL54729,SCOOTER,,"[""PARKING IN A MAIN ROAD"",""NO PARKING""]","[107,113]",2023-12-03 06:45:46+00,,2023-12-04 23:20:59.670304+00,FKDEV00282,FKUSR00281,81.0,Hennuru,False,No Junction,,,,,,
FKID098709,12.9781493,77.5808619,"1st Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL84127,CAR,,"[""NO PARKING""]",[113],2024-03-21 05:04:46+00,,2024-03-21 05:23:10.31022+00,FKDEV00098,FKUSR00099,3.0,Upparpet,True,No Junction,,2024-04-08 14:27:52.828048+00,,,,
FKID274574,12.9991637,77.5484963,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL4376,SCOOTER,,"[""WRONG PARKING""]",[112],2024-01-31 01:51:46+00,,2024-01-31 01:54:05.505192+00,FKDEV00797,FKUSR00766,6.0,Rajajinagar,False,BTP027 - Modi Bridge Junction,,,,,,
FKID236768,12.9766708,77.5774048,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL190329,MAXI-CAB,,"[""NO PARKING""]",[113],2024-01-09 02:15:46+00,,2024-01-09 02:27:51.087602+00,FKDEV00120,FKUSR00121,3.0,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL190329,MAXI-CAB,created1,2024-01-09 13:16:53.599+00
FKID043414,12.9770671,77.5707591,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",FKN00GL39078,PASSENGER AUTO,,"[""WRONG PARKING""]",[112],2024-03-31 23:44:46+00,,2024-04-02 02:20:40.896769+00,FKDEV00722,FKUSR00695,27.0,Chamarajpet,False,BTP048 - Shanthala Junction,,,,,,
FKID116823,12.928715,77.5822667,"Sri Vinayaka Temple Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",FKN00GL97948,CAR,,"[""NO PARKING""]",[113],2024-02-10 03:18:46+00,,2024-02-10 05:14:24.386792+00,FKDEV00306,FKUSR00305,25.0,Jayanagara,True,BTP220 - Puttanna Junction,,,FKN00GL97948,CAR,rejected,2024-03-24 23:27:41.548+00
FKID168394,12.9753957,77.5747728,"Major T Ramachandrappa Road, Elite Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL139210,CAR,,"[""NO PARKING""]",[113],2023-11-19 03:46:46+00,,2023-11-19 03:48:40.662733+00,FKDEV00126,FKUSR00126,3.0,Upparpet,True,BTP045 - Danvanthri Road Junction,,,FKN00GL139210,CAR,approved,2023-11-20 22:41:54.253+00
FKID028177,12.9732349,77.6148794,"Brunton Road, Mittal Towers, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL25884,CAR,,"[""NO PARKING""]",[113],2024-03-16 04:50:46+00,,2024-03-16 23:15:18.158241+00,FKDEV00159,FKUSR00159,17.0,Halasur,True,No Junction,,2024-04-04 19:22:15.027417+00,FKN00GL25884,CAR,approved,2024-04-17 06:44:41.052+00
FKID220864,12.9822567,77.6065008,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL58073,SCOOTER,,"[""NO PARKING""]",[113],2024-01-01 02:52:46+00,,2024-01-01 03:01:08.441662+00,FKDEV00662,FKUSR00640,16.0,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL58073,SCOOTER,approved,2024-01-02 03:55:40.278+00
FKID055065,13.0003933,77.5494931,"WOC Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL48813,CAR,,"[""WRONG PARKING""]",[112],2024-04-03 23:12:46+00,,2024-04-04 01:19:34.329606+00,FKDEV00434,FKUSR00428,6.0,Rajajinagar,False,BTP027 - Modi Bridge Junction,,,,,,
FKID085602,12.8598974,77.6479168,"Neeladri Road, Elite Greenwoods, Vittasandra, Bengaluru, Karnataka. Pin-560068 (India)",FKN00GL73645,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-02 01:47:46+00,,2024-03-03 00:34:04.853865+00,FKDEV00829,FKUSR00799,38.0,Electronic City,True,No Junction,,,,,,
FKID164785,12.9620549,77.597253,"Kadidal Manjappa Road, Vaswani Centropolis, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",FKN00GL132890,SCOOTER,,"[""NO PARKING""]",[113],2023-11-17 22:16:46+00,,2023-11-17 22:18:19.487249+00,FKDEV00297,FKUSR00296,8.0,Ashok Nagar,True,"BTP101 - Blood Bank Circle, KH Road",,,FKN00GL132890,MOPED,approved,2023-11-19 00:59:21.975+00
FKID179008,12.9739844,77.5446337,"3rd Cross Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",FKN00GL147630,SCOOTER,,"[""WRONG PARKING""]",[112],2023-12-11 04:22:46+00,,2023-12-12 03:20:33.659149+00,FKDEV00885,FKUSR00850,30.0,Vijayanagara,True,BTP020 - Hosahalli Metro Station,,,FKN00GL147630,SCOOTER,approved,2023-12-13 00:47:35.336+00
FKID008259,12.9738795,77.5782749,"1st Cross Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL7912,CAR,,"[""NO PARKING"",""WRONG PARKING""]","[113,112]",2024-02-03 05:34:46+00,,2024-02-03 06:07:24.877396+00,FKDEV00267,FKUSR00266,3.0,Upparpet,True,BTP044 - Sagar Theatre Junction,,,,,,
FKID295058,12.991274,77.5886257,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL230750,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2023-11-29 03:53:46+00,,2023-11-29 05:00:37.030982+00,FKDEV01478,FKUSR01402,11.0,High ground,True,BTP032 - Windsor Circle,,,FKN00GL230750,MOTOR CYCLE,approved,2023-11-29 21:24:25.629+00
FKID015439,13.0185917,77.5317484,"Dr Rajkumar Puniya Bhoomi Road, Block 2, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",FKN00GL14514,SCOOTER,,"[""WRONG PARKING""]",[112],2024-01-24 01:24:46+00,,2024-01-24 02:00:30.378647+00,FKDEV00805,FKUSR00774,6.0,Rajajinagar,True,No Junction,,,FKN00GL14514,SCOOTER,approved,2024-01-26 03:00:00.542+00
FKID079333,12.9722585,77.5938268,"Cubbon Park Road, Siddalingaiah Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL68604,SCOOTER,,"[""NO PARKING""]",[113],2023-12-06 20:17:46+00,,2023-12-06 20:19:46.210634+00,FKDEV00483,FKUSR00475,2.0,Cubbon Park,False,BTP063 - Siddalingaiah Circle,,,,,,
FKID213634,12.9821653,77.6064826,"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL155225,SCOOTER,,"[""NO PARKING""]",[113],2023-12-30 04:05:46+00,,2023-12-30 04:06:48.43869+00,FKDEV00662,FKUSR00640,16.0,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL155225,SCOOTER,approved,2023-12-31 02:56:50.304+00
FKID205531,12.92896,77.580685,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",FKN00GL57706,SCOOTER,,"[""NO PARKING"",""DEFECTIVE NUMBER PLATE""]","[113,116]",2023-11-27 00:32:46+00,,2023-11-27 00:51:28.592834+00,FKDEV01571,FKUSR01484,25.0,Jayanagara,True,"BTP189 - New Diagonal Road, Jayanagar",,,FKN00GL57706,SCOOTER,rejected,2023-11-27 21:25:41.287+00
FKID224682,13.0000667,77.5497183,"Chord Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL181649,SCOOTER,,"[""NO PARKING""]",[113],2024-01-05 02:51:46+00,,2024-01-05 03:34:32.1049+00,FKDEV00929,FKUSR00892,19.0,Malleshwaram,True,BTP027 - Modi Bridge Junction,,,FKN00GL181649,SCOOTER,approved,2024-01-06 00:23:28.063+00
FKID082586,12.9944838,77.6984368,"6th Cross Road, Muthukurappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",FKN00GL71249,PASSENGER AUTO,,"[""WRONG PARKING""]",[112],2024-04-07 01:19:46+00,,2024-04-07 01:20:48.030241+00,FKDEV00725,FKUSR00698,84.0,Mahadevapura,False,No Junction,,,,,,
FKID170809,12.9397539,77.6954253,"Outer Ring Road, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL141136,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-12-09 03:17:46+00,,2023-12-09 03:21:56.703976+00,FKDEV00026,FKUSR00026,13.0,HAL Old Airport,True,No Junction,,,FKN00GL141136,CAR,approved,2023-12-09 23:31:43.767+00
FKID020846,12.9593273,77.6566976,"HAL Old Airport Road, Vimanapura, Jeevan Bhimanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560075, India",FKN00GL19548,LGV,,"[""NO PARKING""]",[113],2024-01-13 23:27:46+00,,2024-02-03 23:24:55.202271+00,FKDEV01514,FKUSR01436,4.0,Jeevanbheemanagar,True,No Junction,,,FKN00GL19548,HGV,approved,2024-02-04 23:38:21.074+00
FKID282810,12.9771153,77.5707593,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",FKN00GL129258,PASSENGER AUTO,,"[""NO PARKING""]",[113],2023-11-24 00:07:46+00,,2023-11-25 19:34:01.061276+00,FKDEV00148,FKUSR00148,27.0,Chamarajpet,True,BTP048 - Shanthala Junction,,,FKN00GL129258,PASSENGER AUTO,approved,2023-11-25 22:40:38.372+00
